Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Dopex BTC Weekly Puts,C,0.504,https://exponential.fi/pools/12a705a6-d686-4ddf-a033-b8113345b1d9,Dopex,"USDC,USDT","USD Coin (Arbitrum),Tether USD (Arbitrum)",https://www.notion.so/Dopex-7436cbba48d24c5ab0084651a4227c8e,"https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0, https://www.notion.so/Tether-USD-Arbitrum-35225ab62f8844a5a5ded091704def40"
Beefy AVAX Market Making,C,0.0686,https://exponential.fi/pools/170c1c04-89f0-4011-8c47-8244ac0f2488,Beefy,"AVAX,sAVAX","Avalanche,Benqi Liquid Staked AVAX",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6, https://www.notion.so/Benqi-Liquid-Staked-AVAX-6576b2eaa3004735bedd7994d8c4c2c7"
Trader Joe AVAX-ETH Market Making,C,0.9273,https://exponential.fi/pools/c5bb110a-b4fd-43e0-918b-38554f730cd5,Trader Joe,"WETH.e,AVAX","Wrapped Ether (Avalanche),Avalanche",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Aave AAVE Staking,A,0.0686,https://exponential.fi/pools/20ee9804-a460-4dcc-9d0c-17aaf7a8920d,Aave V2,AAVE,Aave Token (Ethereum),https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Aave-Token-Ethereum-cc37c336d23f4d13a1091c978a2f9394
Sturdy USD Lending,B,0.0578,https://exponential.fi/pools/687eba60-1711-446e-b339-68440db50061,Sturdy,USDC,USD Coin (Ethereum),https://www.notion.so/Sturdy-15df5cf5265f423d8ebf083a104a24f8,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Liquity USD Stability Pool,B,0.0306,https://exponential.fi/pools/bfdda293-d874-4e4c-ae0f-e4c2231f1b33,Liquity,LUSD,LUSD Stablecoin (Ethereum),https://www.notion.so/Liquity-a879e8e0815447048accb0793ea63369,https://www.notion.so/LUSD-Stablecoin-Ethereum-b727ad5e1fb647e2908281c8bfd949a6
Idle ETH Perpetual Yield Tranches (Senior),A,0.0304,https://exponential.fi/pools/f214659b-422b-4b79-94f8-4124864292e9,Idle,stETH,Lido Staked ETH,https://www.notion.so/Idle-a4567aed0b3d4d03b93d94b791240365,https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426
Euler USD Lending,B,0.025,https://exponential.fi/pools/d78189c1-ffe5-48bf-9d83-ef5a86b72c1b,Euler,USDT,Tether USD (Ethereum),https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c
Euler ETH Lending,B,0.0201,https://exponential.fi/pools/029ef1a9-6cc6-46a3-ad05-72f0b99730c0,Euler,ETH,Ether,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Euler ETH Lending,B,0.0457,https://exponential.fi/pools/d0b3dea8-678f-4c66-b979-a82f6dfd7e2a,Euler,cbETH,Coinbase Wrapped Staked ETH,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864
Sonne USD Lending,C,0.0816,https://exponential.fi/pools/30a3a604-16e1-4361-892c-266e2abb0eed,Sonne,DAI,Dai Stablecoin (Optimism),https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66
stake.link LINK Staking,C,0.054,https://exponential.fi/pools/7e9c822f-38ae-492b-a1d9-b0497dea993f,State.link,LINK,ChainLink Token (Ethereum),https://www.notion.so/State-link-f657e6dbf8134b7cbbef47d8aa20f9d8,https://www.notion.so/ChainLink-Token-Ethereum-82f42381a4b54f4090668176719bf929
Sonne USD Lending,C,0.0419,https://exponential.fi/pools/bf33ae20-a27b-4f06-a0dc-bfb8d3d7fde7,Sonne,USDC,USD Coin (Optimism),https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921
Sonne ETH Lending,C,0.0338,https://exponential.fi/pools/6303d63b-9eae-4190-8354-28df98e0cb82,Sonne,WETH,Wrapped Ether (Optimism),https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Wrapped-Ether-Optimism-352d8ee66f4d405e9219c450d3d9fc96
Convex EUR-USD Market Making,F,0.0985,https://exponential.fi/pools/c6da6c35-2c52-4a23-afc4-8e0756eaf785,Convex,"agEUR,FRAX,USDC","agEUR (Ethereum),Frax (Ethereum),USD Coin (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904, https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316"
WOOFi USD Staking,D,0.0958,https://exponential.fi/pools/944025b6-9c9c-4309-822f-f4ee8cf47bdb,WOOFi Earn,USDC,USD Coin (Arbitrum),https://www.notion.so/WOOFi-Earn-815a7eaa17c149389068eb6b502c5412,https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0
Mero USD Staking,D,0.0881,https://exponential.fi/pools/bad058cd-68c2-44a2-b01e-d79e198d3609,Mero,"USDT,MIM,USDC,DAI","Tether USD (Ethereum),Magic Internet Money (Ethereum),USD Coin (Ethereum),Dai Stablecoin",https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
Mero USD Staking,D,0.0863,https://exponential.fi/pools/8d1f9dce-022e-4501-9ffd-2ccd465a059d,Mero,"USDT,MIM,USDC,DAI","Tether USD (Ethereum),Magic Internet Money (Ethereum),USD Coin (Ethereum),Dai Stablecoin",https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
UwU USD Lending,F,0.0844,https://exponential.fi/pools/2d9692c4-4c46-4e31-853e-6337fe447b38,UwU,FRAX,Frax (Ethereum),https://www.notion.so/UwU-e8fa61687ac4482abdfb8ec5563a7dd4,https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da
Sonne USD Lending,D,0.0582,https://exponential.fi/pools/f35ec5eb-c1d0-4102-a6a8-11a19080a885,Sonne,USDT,Tether USD (Optimism),https://www.notion.so/Sonne-6977324d67ea47b7bd579b99b7793ddd,https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb
WOOFi BNB Staking,D,0.0545,https://exponential.fi/pools/ddbd2d4d-15a3-4662-be10-09ec7ceac85c,WOOFi Earn,BNB,Binance Chain Native Token,https://www.notion.so/WOOFi-Earn-815a7eaa17c149389068eb6b502c5412,https://www.notion.so/Binance-Chain-Native-Token-5419ec49379640fe889b03312dcdd939
JustLend USD Lending,D,0.0517,https://exponential.fi/pools/8d1536c5-b3bd-42e8-958f-cca7db8be92f,JustLend,USDD,Decentralized USD,https://www.notion.so/JustLend-3a1f4aacd493469dbafceba648d37fd7,https://www.notion.so/Decentralized-USD-8c57883ad8e54b7b941f06c12fa1d364
UwU USD Lending,D,0.044,https://exponential.fi/pools/fad32523-cb27-4122-b22d-813ce13108a7,UwU,USDT,Tether USD (Ethereum),https://www.notion.so/UwU-e8fa61687ac4482abdfb8ec5563a7dd4,https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c
UwU USD Lending,D,0.0371,https://exponential.fi/pools/00b401f9-11a9-4725-975f-aa265451bfba,UwU,DAI,Dai Stablecoin,https://www.notion.so/UwU-e8fa61687ac4482abdfb8ec5563a7dd4,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364
Convex USD Market Making,F,0.0297,https://exponential.fi/pools/8f21a974-61bc-4413-8a08-30b791d9e61c,Convex,"FRAX,DAI,USDC,USDT","Frax (Ethereum),Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Pendle USDC Principal Token (3/29),F,0.0219,https://exponential.fi/pools/c1790d0a-e5b0-45cf-8f15-83426faf23ae,Pendle,"FRAX,USDC","Frax (Ethereum),USD Coin (Ethereum)",https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316"
Mero USD Staking,F,0.0211,https://exponential.fi/pools/410ad829-2668-49b7-8100-d9911e9547c6,Mero,"FRAX,USDC","Frax (Ethereum),USD Coin (Ethereum)",https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316"
Curve FIDU-USD Market Making,F,0.0092,https://exponential.fi/pools/a4824924-1992-4e6d-a761-8e33676e398f,Curve,"FIDU,USDC","Fidu,USD Coin (Ethereum)",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Fidu-fc46116cee9f42429e0a493ed95ae1eb, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316"
Balancer ETH Market Making,B,0.0582,https://exponential.fi/pools/ef2777db-c3c2-4836-abbe-ad0eba1eabf5,Balancer,"wstETH,ETH","Wrapped stETH,Ether",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Balancer ETH Market Making,B,0.0512,https://exponential.fi/pools/0383600e-fc61-4e2e-b16d-229d5d9fc2bc,Balancer,"ETH,rETH","Ether,Rocket Pool ETH (Ethereum)",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Rocket-Pool-ETH-Ethereum-f2ff381ee89d46a7be45151919db9722"
Lido ETH Staking,A,0.0493,https://exponential.fi/pools/bf2ee737-848b-4e3e-8125-f75cc8e4de53,Lido,ETH,Ether,https://www.notion.so/Lido-798d6b54fe37419ba77ad8184aa58865,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Rocket Pool ETH Staking,A,0.0446,https://exponential.fi/pools/fbac9036-f30b-4b8a-b39a-ef74900d6faa,Rocket Pool,ETH,Ether,https://www.notion.so/Rocket-Pool-1a769ff20d1845bcb50ee690a45de4fd,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Yearn ETH Market Making,B,0.0432,https://exponential.fi/pools/9bc039a7-7d1b-44eb-b20b-35cc923c23b6,Yearn,"stETH,ETH","Lido Staked ETH,Ether",https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Coinbase ETH Staking,B,0.0399,https://exponential.fi/pools/90108fda-bb2a-440f-b4b2-66047c1cbe13,Coinbase Liquid Staking,ETH,Ether,https://www.notion.so/Coinbase-Liquid-Staking-393f51a88a8a4a1c8e793b166a66d636,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Curve ETH Market Making,C,0.0328,https://exponential.fi/pools/a6ef04dc-a194-49bf-872a-ed6427b0f988,Curve,"ETH,frxETH","Ether,Frax Ether",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Frax-Ether-7125030fffb04b6f9dbe876def5784fe"
Euler ETH Lending,B,0.0067,https://exponential.fi/pools/164bf12d-0b41-4b2d-ad9e-0946710014f5,Euler,wstETH,Wrapped stETH,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501
